flex1,flex2,flex3,flex4,flex5,x,y,z,face,SIGN
0,1,0,0,1888,200.5,84.56,-72.5,0.004,Hẹn Hò
0,2,0,0,1888,198.69,68.87,-68.37,0.005,Hẹn Hò
0,2,0,2,1888,200.0,55.69,-63.5,0.003,Hẹn Hò
0,1,0,0,1889,202.31,31.25,-59.69,0.002,Hẹn Hò
0,2,217,-1,1889,207.62,11.94,-54.25,0.002,Hẹn Hò
0,0,128,0,1888,216.12,9.69,-42.0,0.001,Hẹn Hò
0,1,1,1,1888,228.0,20.94,-25.56,0.0,Hẹn Hò
1,1,61,1,1889,237.25,32.31,-17.19,0.001,Hẹn Hò
-1,2,2,1,1889,240.75,46.56,-20.81,0.0,Hẹn Hò
1,0,1,1,1888,229.69,64.12,-32.94,0.001,Hẹn Hò
0,0,1,2,1889,212.37,67.5,-50.0,0.001,Hẹn Hò
1,1,2,2,1889,196.31,70.37,-69.75,0.001,Hẹn Hò
1,1,0,1,1889,178.81,118.25,-77.81,0.001,Hẹn Hò
1,2,1,0,1888,185.69,91.81,-73.69,0.001,Hẹn Hò
0,2,1,2,1888,193.87,75.56,-68.87,0.0,Hẹn Hò
1,2,0,0,1888,201.12,76.37,-67.69,0.003,Hẹn Hò
1,3,1,2,1889,200.62,84.5,-68.94,0.001,Hẹn Hò
1,2,2,0,1888,197.0,96.31,-71.75,0.002,Hẹn Hò
2,0,1,1,1888,194.06,98.25,-73.37,0.001,Hẹn Hò
0,1,2,2,1888,195.75,92.81,-73.12,0.003,Hẹn Hò
1,1,0,1,1889,198.0,91.37,-72.56,0.002,Hẹn Hò
1,1,0,2,1888,200.62,91.56,-72.44,0.002,Hẹn Hò
2,2,1,0,1889,208.75,63.31,-72.62,0.003,Hẹn Hò
2,2,1,0,1888,213.5,48.75,-66.75,0.003,Hẹn Hò
0,0,0,1,1889,216.75,45.75,-63.31,0.002,Hẹn Hò
1,1,1,0,1888,221.62,43.38,-56.75,0.002,Hẹn Hò
0,1,1,1,1888,226.37,33.19,-51.19,0.002,Hẹn Hò
2,1,5,2,1889,229.87,30.37,-46.0,0.002,Hẹn Hò
1143,880,327,1,1888,236.37,37.75,-38.81,0.002,Hẹn Hò
1653,1924,168,0,1889,242.81,41.19,-26.94,0.002,Hẹn Hò
1700,1931,948,0,1888,253.5,45.31,-13.06,0.002,Hẹn Hò
1472,1913,781,0,1889,257.75,39.31,-7.06,0.003,Hẹn Hò
962,1255,28,1,1888,255.87,24.31,-13.19,0.004,Hẹn Hò
68,2,1,1,1888,252.37,13.19,-39.25,0.005,Hẹn Hò
1,1,-1,1,1888,239.87,0.0,-65.69,0.002,Hẹn Hò
1,1,3,1,1889,230.37,-10.19,-59.0,0.003,Hẹn Hò
0,1,116,0,1888,231.19,-8.44,-24.12,0.004,Hẹn Hò
